Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
206910 (2004 NL8),,,,17.28,2459800.5,0.7151,2.575,0.734,5.02,150.95,278.06,111.34,4.42,0.2385,0.0217,1
207398 (2006 AS2),,,4.48,20.38,2459800.5,0.6397,2.093,0.754,2.59,125.89,79.64,149.35,3.43,0.3255,0.0102,1
207945 (1991 JW),0.423,0.161,3.1499,19.6,2459800.5,0.1186,1.039,0.916,8.71,53.86,301.93,67.74,1.16,0.9305,0.0194,1
208023 (1999 AQ10),,,2.67,20.52,2459800.5,0.2357,0.9345,0.714,6.5,327.09,300.49,239.57,1.15,1.091,0.0066,1
208115 (2000 CT101),,,,20.84,2459800.5,0.3546,1.299,0.839,23.3,135.56,292.41,106.3,1.76,0.6654,0.0132,1
212546 (2006 SV19),,,,17.71,2459800.5,0.5156,2.132,1.033,7.36,116.21,182.59,63.99,3.23,0.3166,0.017,1
214869 (2007 PA8),,,102.24,16.51,2459800.5,0.6527,2.848,0.989,2,141.33,293.8,11.89,4.71,0.205,0.0309,1
215588 (2003 HF2),0.488,0.118,,19.44,2459800.5,0.6754,1.114,0.362,3.06,189.89,231.03,244.68,1.87,0.8384,0.00319,1
216115 (2006 SU19),,,,18.98,2459800.5,0.5869,1.526,0.631,2.09,152.25,10.59,34.94,2.42,0.5226,0.0351,1
216258 (2006 WH1),,,7.3,20.34,2459800.5,0.4853,1.671,0.86,2.63,240.34,263.69,60.62,2.48,0.4562,0.0237,1
216523 (2001 HY7),,,,20.7,2459800.5,0.4121,0.9138,0.537,5.21,205.08,211.28,267.26,1.29,1.128,0.0354,1
216985 (2000 QK130),,,,21.33,2459800.5,0.2617,1.181,0.872,4.72,173.86,66.33,103.41,1.49,0.7684,0.000669,1
217430 (2005 SN25),,,,19.71,2459800.5,0.2706,1.23,0.897,13.01,168.3,45.16,263.18,1.56,0.7226,0.0268,1
217628 Lugh (1990 HA),1.4,,8.55,16.62,2459800.5,0.7113,2.529,0.73,4.44,177.79,316.12,324.33,4.33,0.245,0.0333,1
220839 (2004 VA),,,6.7906,17.48,2459800.5,0.595,1.902,0.77,3.69,109.51,43.4,240.02,3.03,0.3757,0.0231,1
221455 (2006 BC10),,,,19.52,2459800.5,0.658,2.015,0.689,0.93,21.25,234.02,227.1,3.34,0.3447,0.00628,1
221980 (1996 EO),0.432,0.2,,19.11,2459800.5,0.4006,1.341,0.804,21.59,356.48,64.69,66.07,1.88,0.6343,0.0333,1
226514 (2003 UX34),,,,20.2,2459800.5,0.6159,1.095,0.421,2.56,4.34,218.52,273.15,1.77,0.8601,0.0151,1
