Object Full Name,Diameter (km),Albedo,Rotation Period (hrs),Absolute Magnitude Parameter,Epoch of Oscillation in Julian Day Form,Eccentricity,Semi-Major Axis (au),Perihelion Distance (au),Inclination (degrees),Longitude of Ascending Node (deg),Argument of Perihelion (deg),Mean Anomaly (deg),Aphelion distance (au),Mean motion (deg/day),Earth Minimum Orbit Intersection Distance (au),Potentially Hazardous Asteroid
       (2008 TC),,,,23.7,2454741.5,0.4991,2.057,1.03,2.67,211.23,106.38,14.87,3.08,0.3342,0.0479,0
       (2008 TD),,,,25.4,2459800.5,0.3387,0.8961,0.593,5.08,357.72,144.47,16.5,1.2,1.162,0.0252,0
       (2008 TE),,,,27.75,2454742.5,0.4514,1.516,0.831,0.31,1.16,297.36,28.55,2.2,0.5282,5.70E-05,0
       (2008 TF),,,,21.9,2459800.5,0.5186,0.9568,0.461,21.08,10.13,139.43,192.94,1.45,1.053,0.078,0
       (2008 TG),,,,23,2454748.5,0.5347,2.538,1.181,1.69,243.86,99.37,8.6,3.9,0.2437,0.176,0
       (2008 TH),,,,24.9,2454742.5,0.5613,1.349,0.592,9.32,7.29,112.11,316.94,2.11,0.6293,0.0395,0
       (2008 TJ),,,,26.7,2454741.5,0.3172,1.559,1.065,3.49,7.38,340.5,10.62,2.05,0.5062,0.0613,0
       (2008 TK),,,,23.6,2454742.5,0.5177,2.128,1.026,15.44,12.67,351.17,2.41,3.23,0.3175,0.0298,0
       (2008 TL),,,,27.5,2454741.5,0.4804,1.75,0.909,8.89,7.77,312.7,16.33,2.59,0.4257,0.00683,0
       (2008 TZ),,,,25.4,2459800.5,0.3968,0.953,0.575,1.5,9.68,127.53,235.72,1.33,1.059,0.00366,0
       (2008 TB1),,,,22.2,2454742.5,0.5843,2.648,1.101,22.84,183.83,120.5,14.39,4.19,0.2288,0.243,0
       (2008 TC1),,,,24,2454743.5,0.5545,2.122,0.945,7.84,187.15,120.68,16.76,3.3,0.3189,0.052,0
       (2008 TD1),,,,25.2,2454749.5,0.4919,2.194,1.115,1.9,5.89,15.59,358.21,3.27,0.3032,0.118,0
       (2008 TE1),,,,25.4,2454742.5,0.4726,1.944,1.025,15.04,9.23,2.97,359.54,2.86,0.3637,0.0248,0
       (2008 TB2),,,,24.5,2454744.5,0.49,2.069,1.055,3.91,10.13,9.41,357.89,3.08,0.3311,0.0576,0
       (2008 TC2),,,,23.4,2459800.5,0.3105,1.066,0.735,5.76,196.44,71.92,282.69,1.4,0.8959,0.0184,0
       (2008 TD2),,,,21.93,2459800.5,0.3343,1.53,1.019,4.02,16,315.98,137.85,2.04,0.5207,0.0401,1
       (2008 TE2),,,,27.3,2454743.5,0.3257,1.497,1.009,3.18,10.64,2.97,359.18,1.98,0.5382,0.00927,0
       (2008 TF2),,,,25.1,2454744.5,0.3587,0.9902,0.635,15.98,196.66,295.18,279.91,1.35,1,0.0116,0
       (2008 TR2),,,,19.9,2459800.5,0.2729,1.708,1.242,33.86,28.12,354.52,72.65,2.17,0.4415,0.248,0
